id,lat,lon,user,uid,version,changeset,timestamp
44389590,51.918003,4.4002848,stroet43,36790,7,10159181,2011-12-19T21:10:13Z
44390090,51.9182,4.3574,AND,12946,2,3437865,2009-12-23T21:19:57Z
44390773,51.9183977,4.2584007,Jeroen Muris,203114,4,14899638,2013-02-03T17:35:31Z
44391688,51.9190385,4.2475373,nimapper,36080,4,12104873,2012-07-03T21:24:33Z
44392150,51.9187441,4.3978547,opani_BAG,1892873,3,21673935,2014-04-13T21:44:47Z
44393075,51.9187391,4.3680804,nimapper,36080,3,12272866,2012-07-17T21:49:38Z
44393948,51.919098,4.2526186,opani,329877,5,21761259,2014-04-18T06:59:52Z
44394879,51.9192398,4.2530533,opani,329877,5,21761259,2014-04-18T06:59:52Z
44395784,51.9195,4.335,AND,12946,2,3437865,2009-12-23T21:20:57Z
44396599,51.9196215,4.362839,stroet43,36790,3,10189819,2011-12-23T20:22:30Z
44397374,51.9199,4.3483,AND,12946,2,3437865,2009-12-23T21:18:43Z
44398194,51.9201,4.3626,AND,12946,2,3437865,2009-12-23T21:19:42Z
44399463,51.9204212,4.2534709,opani_BAG,1892873,4,21526511,2014-04-06T07:50:43Z
44400403,51.9205502,4.2563783,fsteggink,37993,4,36107804,2015-12-22T15:26:38Z
44401339,51.9208,4.3123,AND,12946,2,3437865,2009-12-23T21:20:23Z
44402512,51.9210348,4.2608657,opani,329877,4,21737818,2014-04-16T21:01:33Z
44403959,51.9213076,4.2606495,opani,329877,3,21737818,2014-04-16T21:01:33Z
44405443,51.921663,4.3394912,nimapper,36080,5,10663176,2012-02-12T13:53:41Z
44406930,51.9219236,4.2733043,eggie,334075,3,11679746,2012-05-23T10:55:13Z
44407869,51.9221,4.3928,AND,12946,2,3437007,2009-12-23T19:18:29Z
44409706,51.9225112,4.224197,nimapper,36080,3,4304901,2010-04-02T15:52:07Z
44410735,51.9226406,4.3381643,nimapper,36080,4,10662882,2012-02-12T13:25:10Z
44411703,51.9229,4.2689,AND,12946,2,3437838,2009-12-23T21:16:05Z
44412809,51.9231543,4.2640615,stroet43,36790,3,5374840,2010-08-01T20:32:54Z
44413904,51.9233016,4.2815257,wvdp,436419,6,30163475,2015-04-12T13:35:29Z
44414481,51.9233401,4.4030086,Maarten Deen,9176,3,37189712,2016-02-13T16:18:24Z
44415469,51.9236031,4.4007094,textlijn,161542,6,6600603,2010-12-09T22:45:55Z
44416513,51.9237926,4.4000022,textlijn,161542,6,6600603,2010-12-09T22:45:52Z
44417463,51.9240201,4.3947982,Maarten Deen,9176,4,37189712,2016-02-13T16:18:24Z
44419362,51.92429,4.40769,AND,12946,2,3437007,2009-12-23T19:16:59Z
44420000,51.9244,4.4083,AND_fixbot,211771,3,3449669,2009-12-25T18:32:29Z
44421264,51.9246826,4.2691515,opani,329877,7,26534431,2014-11-03T20:13:43Z
44422727,51.92496,4.25132,AND,12946,2,3437838,2009-12-23T21:14:41Z
44423778,51.9251909,4.2434765,Mapinator,61493,4,9756362,2011-11-06T15:38:14Z
44424696,51.9254835,4.2437115,Mapinator,61493,4,9756362,2011-11-06T15:38:15Z
44425640,51.9255532,4.2507313,CeesW,476789,3,10586652,2012-02-04T17:31:06Z
44426459,51.9257984,4.3373128,de vries,1707814,3,34340564,2015-09-30T07:24:24Z
44427295,51.926,4.2503,AND,12946,2,3437838,2009-12-23T21:14:38Z
44428465,51.9259584,4.2749423,HYS,551794,3,16149529,2013-05-16T08:28:32Z
44429804,51.92648,4.40475,AND,12946,2,3437007,2009-12-23T19:17:05Z
44430778,51.9266812,4.2468623,dvdhoven,294028,5,40036510,2016-06-15T11:22:33Z
44432064,51.9270289,4.2399121,nljacob58,4326313,3,41491438,2016-08-16T14:48:28Z
44432899,51.9272796,4.2569,opani_BAG,1892873,3,21522576,2014-04-05T22:07:06Z
44433770,51.9274,4.3986586,AND_fixbot,211771,3,3450358,2009-12-25T20:11:08Z
44435535,51.9276669,4.2756444,AND_fixbot,211771,4,3449669,2009-12-25T18:32:38Z
44436651,51.9279,4.38,AND,12946,2,3437007,2009-12-23T19:17:37Z
44437947,51.9281278,4.2444958,CeesW,476789,3,10586438,2012-02-04T17:11:39Z
44439186,51.9284381,4.3390836,Imergis,1794001,3,20301303,2014-01-31T15:16:33Z
44440176,51.9286,4.3802,AND,12946,2,3437007,2009-12-23T19:17:38Z
44441644,51.9288881,4.2710016,CeesW,476789,8,10588338,2012-02-04T20:34:51Z
44442626,51.9291239,4.2704824,stroet43,36790,3,5374840,2010-08-01T20:33:56Z
44443615,51.929268,4.4033539,textlijn,161542,4,5027584,2010-06-19T21:53:35Z
44445176,51.9296745,4.3394742,brandmeester,607691,3,28069670,2015-01-11T18:25:22Z
44446232,51.9298242,4.3736612,stroet43,36790,3,5362615,2010-07-31T13:22:41Z
44447274,51.9300302,4.371998,stroet43,36790,3,5362615,2010-07-31T13:22:47Z
44448776,51.9303076,4.2723264,stroet43,36790,3,5374840,2010-08-01T20:33:57Z
44449899,51.9305,4.2483,AND,12946,2,3437838,2009-12-23T21:14:34Z
44451002,51.9307,4.3661,AND,12946,2,3437007,2009-12-23T19:16:00Z
44452713,51.9310522,4.229182,CeesW,476789,5,10553754,2012-01-31T21:29:27Z
44453928,51.9312659,4.3592508,CeesW,476789,5,9627052,2011-10-22T19:37:45Z
44454927,51.9313901,4.3426672,CeesW,476789,3,9612981,2011-10-20T22:32:19Z
44456701,51.9317,4.2374,AND,12946,2,3437838,2009-12-23T21:13:48Z
44457808,51.9319267,4.3569957,brandmeester,607691,4,28026163,2015-01-09T19:15:06Z
44458839,51.9320472,4.3674853,stroet43,36790,3,5362615,2010-07-31T13:22:40Z
44460599,51.932441,4.3376172,textlijn,161542,4,3635587,2010-01-16T21:04:35Z
44461692,51.9326058,4.3367144,textlijn,161542,3,3582094,2010-01-09T21:17:34Z
44462703,51.9327765,4.3492736,Maarten Deen,9176,5,37189712,2016-02-13T16:18:24Z
44463797,51.9329869,4.3472826,the Sandinator,950776,4,36104715,2015-12-22T12:45:08Z
44465201,51.9332012,4.3797215,eggie,334075,4,14695925,2013-01-18T13:07:55Z
44467045,51.9334709,4.2528844,opani,329877,5,26534431,2014-11-03T20:13:44Z
44468302,51.9337078,4.3589339,CeesW,476789,4,9627052,2011-10-22T19:37:54Z
44469550,51.9338907,4.3465416,the Sandinator,950776,4,36104715,2015-12-22T12:45:07Z
44470756,51.9341,4.3866,AND,12946,2,3437007,2009-12-23T19:15:27Z
44471831,51.9343,4.3835,AND,12946,2,3437007,2009-12-23T19:20:54Z
44473098,51.9345,4.3859,AND,12946,2,3437007,2009-12-23T19:19:12Z
44474279,51.9346425,4.382771,It's so funny,191979,4,11772142,2012-06-01T21:27:37Z
44475268,51.9349045,4.2245146,opani_BAG,1892873,4,21504167,2014-04-04T22:03:05Z
44475858,51.935,4.3624,AND,12946,2,3437865,2009-12-23T21:17:34Z
44476944,51.9352,4.3704,AND,12946,2,3437007,2009-12-23T19:13:52Z
44478143,51.9353796,4.2758257,AND_fixbot,211771,3,3451199,2009-12-25T22:33:11Z
44479165,51.9356234,4.2348547,nimapper,36080,3,8304859,2011-05-31T20:06:38Z
44480282,51.9358067,4.3460009,the Sandinator,950776,4,36104715,2015-12-22T12:45:08Z
44481341,51.9359678,4.357195,textlijn,161542,3,3636031,2010-01-16T21:44:57Z
44482313,51.9362517,4.3796916,stroet43,36790,3,5362615,2010-07-31T13:22:41Z
44483379,51.9364,4.3515,AND,12946,2,3437865,2009-12-23T21:18:31Z
44483972,51.9375535,4.3971186,AND_fixbot,211771,4,3450154,2009-12-25T19:38:06Z
44485120,51.9366747,4.3408358,stvn,16559,3,12499164,2012-07-26T13:12:02Z
44486230,51.9369146,4.3326746,It's so funny,191979,3,9397173,2011-09-25T21:18:59Z
